"id","naslov","labela","podtip","napomena"
"sportklub_ed56704563","Anketa DPA: Nemcima nije do fudbala sa SP posle ponoći","1","",""
"sportklub_6d1735a637","(VIDEO) Drama u penal seriji: CSKA osvojio Kup Bugarske","0","",""
"sportklub_1261577f0f","Janakopulosu gori, a Željku?","1","",""
"sportklub_ae773cb591","Dalićev konačni spisak za nastup Hrvatske na Mundijalu","0","",""
"sportklub_70902521f7","Ovako će Zvezda isplaćivati Ibona: Objavljeni detalji dogovora","0","",""
"sportklub_fcb0984d58","Albanija ima novog selektora","0","",""
"sportklub_a316dab5fc","Nikitović: Incident? To je deo sporta i igre…","1","",""
"sportklub_b2b14f8db1","Radonjić propustio meč loptu, odluka u Kazanju","0","",""
"sportklub_66c6d63564","Đoković se zadržao na četvrtom mestu ATP liste","0","",""
"sportklub_86b9b05cb4","Bošković menja Jovančevića u štafeti 4 x 100 metara","0","",""
"sportklub_2efc4bb2c5","Predizborno obećanje: Jirgen Klop na klupi Reala!","0","",""
"sportklub_8726124eca","Slovenac MVP finalnog turnira Lige šampiona","0","",""
"sportklub_b7b47a10aa","Nema straha od Dubaija: Jako i hrabro do brejka u Zenici","1","",""
"sportklub_bf5d359e14","Alkaras: Ne želim da se pretvorim u roba tenisu","1","",""
"sportklub_6ff093b875","NCAA spušta rampu za igrače iz Evrolige?","0","",""
"sportklub_1f1343f287","Florentinu Perezu stigao odgovor od Barselone","1","",""
"sportklub_ad14d06504","Gudurićeva dirljiva poruka Veselom: Brate moj…","1","",""
"sportklub_317e5508fa","Preminuo mladi fudbaler Sloge Milan Radulović","0","",""
"sportklub_759dc0d7f4","Bakić osvojio srebro u Laškom, Tajland je sve bliži…","1","",""
"sportklub_9c17d0c68b","Njujork na pola puta do finala, Klivlend pao i drugi put","0","",""
"sportklub_763feadbec","(VIDEO) Vezenkov pogodio sa pola terena, Milutinov van tima","0","",""
"sportklub_0ece59a738","Akosta za SK: Mnogo još posla imamo","0","",""
"sportklub_1ff0a88fc9","Bode je zaboravljen: Kristijan Kivu dobija novi ugovor","0","",""
"sportklub_a0e9b8dce8","Crvena zvezda ima novog trenera!","1","",""
"sportklub_f4a2d89dde","Mesi u trci sa vremenom: Neće biti potpuno spreman","0","",""
"sportklub_822afe7b40","Muratoglu: Potvrđena ahilova peta Janika Sinera","1","",""
"sportklub_e1ea963e79","(VIDEO) Šejev povratak u velikom stilu, OKC izjednačio","0","",""
"sportklub_b1c4679534","Pogledajte kako su igrači Arsenala dočekali trenutak krunisanja","0","",""
"sportklub_d95b8563d2","(VIDEO) Vembanjama uništio Minesotu","0","",""
"sportklub_d4397c3440","Tinejdžer upucan tokom „slavlja“ navijača Njujork Niksa","0","",""
"sportklub_8e8f1e260a","Vratio se: Dominacija Markesa u Balatonu","0","",""
"sportklub_92fad67965","Krunić na ceremoniji: Planirate li da završite karijeru?","1","",""
"sportklub_4b820ac845","Došao je kraj: Real se zahvalio iskusnom defanzivcu","1","",""
"sportklub_67a464974c","Džered Batler: Velikim delom krivica je moja","0","",""
"sportklub_9f3919aea1","Iranci stigli u Meksiko, imali specijalnu poruku upućenu domaćinu","1","",""
"sportklub_d4623f17db","Andrejeva: Ne slušam šta Ukrajinke pričaju o nama","0","",""
"sportklub_cebbccdfc4","Dimitrijević – opet ništa od dolaska u Partizan","0","",""
"sportklub_3979817d84","Holand čestitao Arsenalu na tituli","0","",""
"sportklub_fb418b7a77","Srcolomac Maeda: Seltik u finišu preoteo titulu i završio bajku!","0","",""
"sportklub_d0e120449f","Beker i Kurijer veruju da Đoković može da osvoji Vimbldon","0","",""
"sportklub_e1dfd73bc6","Niksi deluju nezaustavljivo – Još pobeda do finala!","0","",""
"sportklub_ace0b5d291","Kuman saopštio spisak Holanđana, bez dve velike zvezde","1","",""
"sportklub_33a386f1b3","Spremao Novaka u Melburnu, osvojio titulu na Rolan Garosu","1","",""
"sportklub_23cd33ae7d","Epski preokret Niksa, Od -20 u Q4 do pobede – Anunobi heroj","0","",""
"sportklub_5cc0d6788e","Janik Siner šokantno ispao sa Rolan Garosa! Pozlilo mu je…","0","",""
"sportklub_34d70f7e18","Zlata vredan brejk Cibone u Zadru, uz velike planove…","0","",""
"sportklub_a7f927ce5d","Večeras na Mundijalu: Nemci i Kurasao pa Holanđani i Japan","0","",""
"sportklub_7e71114f92","Armani najavio pohod za titulu – stotkom!","0","",""
"sportklub_58572d00e1","Vembanjama predvodi najbolju defanzivnu petorku","0","",""
"sportklub_76a6e2fe8f","Problem pred Hrvatska – Engleska? Ozbiljan fijasko u najavi…","1","",""
"sportklub_546b28151e","Novi ambiciozni projekat se seli u Rim, GM – Zoran Savić!","0","",""
"sportklub_b83fd9620a","Šou je počeo! Dva gola i tri direktna crvena na startu Mundijala","0","",""
"sportklub_6919829f92","Srušen jak transfer, Avdić mora na dugu pauzu","1","",""
"sportklub_53752b90d1","Tadić: Piksi je hteo da okrene svlačionicu protiv mene","0","",""
"sportklub_24b8bdfa28","Napeto u Meksiku: Vojska na ulici uoči otvaranja Mundijala","0","",""
"sportklub_92e1fea3cb","Sjajan start Srbije u Ligi nacija, za tri boda protiv Argentine","0","",""
"sportklub_629ad7683a","(VIDEO) Nije samo majstor za asistencije: Kakva golčina Bruna!","0","",""
"sportklub_96a17d3c4d","„Ode Božo, legenda Borca i Čačka, ostaju priče za sva vremena“","0","",""
"sportklub_d3b7b0fd6b","„Endi je odmah znao da će Novak dominirati a ne Rafa i Rodžer“","0","",""
"sportklub_9ea12cc645","Đokoviću preti veliki pad na svetskoj listi posle Rolan Garosa","0","",""
"sportklub_6781fa367e","Prvorazredna senzacija: Budvani nokautirali Kotorane!","0","",""
"sportklub_6a6df27426","Teodosić sportski direktor Crvene zvezde, kraj puta za Dozeta!","0","",""
"sportklub_ef0520b36c","(VIDEO) Prekid i drama u Mostaru, Zrinjski osvojio Kup BIH!","0","",""
"sportklub_160e7fe370","Četvorica u 61 hiljaditinki – Gevara tik ispred Salača do pola","0","",""
"sportklub_9dcb40c67f","Šćepanović za SK: Za ovakve utakmice se živi!","0","",""
"sportklub_9719f4cbc7","Milojević pred novim angažmanom","0","",""
"sportklub_f4c958e05d","Legendarni Kanađanin igra na Svetskom prvenstvu","1","",""
"sportklub_4323e1836e","Jovanin Finiks konačno dobio","1","",""
"sportklub_02dfef183a","Koboli protiv Ože-Alijasima za istorijski plasman u Top 10","0","",""
"sportklub_fd2b129e01","Njujork ponovo živi za košarku","0","",""
"sportklub_c8aa52dc09","Nole, Hamad i pogled 1.453 kilometra od stadiona Filip Šatrije","1","",""
"sportklub_c1e8772612","SK: Partizan poslao ponudu za Seka, očekuje se brz odgovor Torina","0","",""
"sportklub_9b0647a814","„Dva najbolja tima su u finalu, domaći parket je prednost“","1","",""
"sportklub_d3e53972b3","Profesoru Nediću ukinuta suspenzija","0","",""
"sportklub_565ca7d01f","Tanasković odgovorio Terziću: Takve reči ne donose dobro sportu","0","",""
"sportklub_d11da25016","Gojko: Ako postoji neopravdani bojkot, zahvalio bih se igračima","0","",""
"sportklub_4e721acc6b","Lesor: Imamo petoricu na terenu, a oni nekada i osmoricu…","1","",""
"sportklub_340b9312e3","Nije „mitsko biće“: Mesina stiže na finale u Loznicu","0","",""
"sportklub_c75ed6c1a8","Rasim pred Skupštinu: Muka mi je od izgovora, neću da tražim pare","0","",""
"sportklub_a9f1a639b1","Prvi gol na Mundijalima, i to protiv Nemaca: Kurasao čini čuda!","0","",""
"sportklub_c783dd1ffd","(VIDEO) Reč junaka: Mi smo jedna otporna grupa","1","",""
"sportklub_3ade088d5a","Bivša šampionka nije iskoristila meč lopte","1","",""
"sportklub_fdebb02e57","Euro NIL: Kako Srbija može da iskoristi benefite NCAA košarke?","0","",""
"sportklub_a6423b5c54","Gudurić odličan, prednost za Armani u borbi za finale","0","",""
"sportklub_25b967ff8b","Liverpul podiže spomenik Diogu Žoti","0","",""
"sportklub_1957fdcb03","Zvezda dogovorila još jednog ofanzivca, plaća 3.000.000 €","1","",""
"sportklub_3dce2956d1","Liga nacija: Ukrajina za istoriju, Holandija pregazila Tursku","0","",""
"sportklub_9b0158caa6","Čuveni Španac dobio otkaz u Panatinaikosu","1","",""
"sportklub_92e57b66bd","Povici iz Fenera: Najsramniji F4 u poslednjih nekoliko godina","1","",""
"sportklub_19e8bac927","Hapoel se zahvalio Amerikancu na saradnji posle 13 utakmica","1","",""
"sportklub_f31c76cae9","Montero MVP, Valensija „počistila“ Huventud za novo finale","0","",""
"sportklub_1628b85452","SK u Atini: Vodimo vas u zemlju čuda sa Alisom","1","",""
"sportklub_f09123c8f1","Hal razmatra svoje opcije za direktan plasman u Premijer ligu","1","",""
"sportklub_a4c9203b84","Dogovoreno: Partizan konačno vraća svoje dete!","1","",""
"sportklub_3804f282b9","Očaj Čime Monekea: Nismo povezani sa Sašom Obradovićem","1","",""
"sportklub_4cf0281627","Poter: Fantastičan početak, ali možemo mnogo bolje","0","",""
"sportklub_633f56a316","Partizan Skupštinu kluba zatvorio za javnost","0","",""
"sportklub_bc40e91398","(FOTO) Ovako izgleda kostur najvećeg Mundijala ikada","0","",""
"sportklub_55e6b1a58a","FIFA optužena za tajnu preprodaju ulaznica za Mundijal","0","",""
"sportklub_1ff6886853","Karolina vratila brejk, krećemo od nule","0","",""
"sportklub_87a8462104","Pričaće se o ovoj izjavi: Ovakav meč mora da sudi muškarac","1","",""
"sportklub_fc35e234cd","Jedva dočekao: Ataman ga prozvao i otpustio, sada se svima smeje","1","",""
"sportklub_b05f094d4e","Fenomenalni Mičel doneo Klivlendu pobedu i izjednačenje","0","",""
"sportklub_7e5cbdddb0","Moguć haos u Seriji A: Pet timova sa 71 bodom, Juventus „visi“","1","",""
"sportklub_c39fdaf92d","Petković: Serena se nije vratila da bi igrala samo dubl","0","",""
"sportklub_e56d5c13ec","Dva finala za Srbiju posle kvalifikacija u Montemoru","0","",""
"sportklub_669d28795f","Điro: Gani 10. etapa, Vingegor se opasno primakao roze majici","0","",""
"sportklub_0628408150","Adžić ide na pozajmicu: Sasuolo najbliži crnogorskom biseru…","1","",""
"sportklub_788433aae5","(VIDEO) „Sabotaža“ na proslavi Bajernove titule: „Ku*kini sinovi“","1","",""
"sportklub_d32946e953","Nemci izbegli još teži poraz: Aston Vila osvojila Ligu Evrope!","0","",""
"sportklub_245fc6524e","Zvezda hoće izraelsku zvezdu! Krilo je i ima sjajnu sezonu","1","",""
"sportklub_1ad9312723","Razilaze se Van Persi i Fejenord","0","",""
"sportklub_4b2fa69d16","Šansi je bilo, svežine je nedostajalo: Hamad bez četvrtfinala","0","",""
"sportklub_e8fd4d13ba","Srbija dobila selektora ženske vaterpolo reprezentacije","0","",""
"sportklub_858865ee4a","Moglo je i bolje: Minimalna pobeda Srbije protiv Mađarske","1","",""
"sportklub_11685f7849","Iz TSC-a poručuju: Ne kalkulišemo, želimo pobedu","0","",""
