"id","naslov","labela","podtip","napomena"
"sportklub_ed56704563","Anketa DPA: Nemcima nije do fudbala sa SP posle ponoći","0","",""
"sportklub_6d1735a637","(VIDEO) Drama u penal seriji: CSKA osvojio Kup Bugarske","1","",""
"sportklub_1261577f0f","Janakopulosu gori, a Željku?","1","",""
"sportklub_ae773cb591","Dalićev konačni spisak za nastup Hrvatske na Mundijalu","0","",""
"sportklub_70902521f7","Ovako će Zvezda isplaćivati Ibona: Objavljeni detalji dogovora","0","",""
"sportklub_fcb0984d58","Albanija ima novog selektora","0","",""
"sportklub_a316dab5fc","Nikitović: Incident? To je deo sporta i igre…","1","",""
"sportklub_b2b14f8db1","Radonjić propustio meč loptu, odluka u Kazanju","0","",""
"sportklub_66c6d63564","Đoković se zadržao na četvrtom mestu ATP liste","0","",""
"sportklub_86b9b05cb4","Bošković menja Jovančevića u štafeti 4 x 100 metara","0","",""
"sportklub_2efc4bb2c5","Predizborno obećanje: Jirgen Klop na klupi Reala!","1","",""
"sportklub_8726124eca","Slovenac MVP finalnog turnira Lige šampiona","0","",""
"sportklub_b7b47a10aa","Nema straha od Dubaija: Jako i hrabro do brejka u Zenici","0","",""
"sportklub_bf5d359e14","Alkaras: Ne želim da se pretvorim u roba tenisu","1","",""
"sportklub_6ff093b875","NCAA spušta rampu za igrače iz Evrolige?","1","",""
"sportklub_1f1343f287","Florentinu Perezu stigao odgovor od Barselone","1","",""
"sportklub_ad14d06504","Gudurićeva dirljiva poruka Veselom: Brate moj…","1","",""
"sportklub_317e5508fa","Preminuo mladi fudbaler Sloge Milan Radulović","0","",""
"sportklub_759dc0d7f4","Bakić osvojio srebro u Laškom, Tajland je sve bliži…","1","",""
"sportklub_9c17d0c68b","Njujork na pola puta do finala, Klivlend pao i drugi put","0","",""
"sportklub_763feadbec","(VIDEO) Vezenkov pogodio sa pola terena, Milutinov van tima","1","",""
"sportklub_0ece59a738","Akosta za SK: Mnogo još posla imamo","1","",""
"sportklub_1ff0a88fc9","Bode je zaboravljen: Kristijan Kivu dobija novi ugovor","1","",""
"sportklub_a0e9b8dce8","Crvena zvezda ima novog trenera!","1","",""
"sportklub_f4a2d89dde","Mesi u trci sa vremenom: Neće biti potpuno spreman","1","",""
"sportklub_822afe7b40","Muratoglu: Potvrđena ahilova peta Janika Sinera","0","",""
