id,naslov,izvor,url,datum,rubrika,datum_scrape,labela
sportklub_4345555ce9,(VIDEO) Da li je ovo bila odbrana za opstanak u PL?,sportklub,https://sportklub.n1info.rs/video/fudbal-video/totenhnem-lids-1-1-precka-sansa-video-da-li-je-ovo-bila-odbrana-za-opstanak-u-pl/,2026-05-11,Fudbal - video,2026-06-15,
sportklub_9e930cd59e,"Đirona pobegla od zone ispadanja, razlika sada dva boda",sportklub,https://sportklub.n1info.rs/fudbal/primera/girona-rayo-vallecano-la-liga-primera/,2026-05-11,Primera,2026-06-15,
sportklub_52eb356a6f,Bomba iz Italije: Diđa napušta Rosija i odlazi u KTM,sportklub,https://sportklub.n1info.rs/automoto/motogp/bomba-iz-italije-didja-napusta-rosija-i-odlazi-u-ktm/,2026-05-11,Moto GP,2026-06-15,
sportklub_fea6b7039d,Još pobeda do Premijer lige: Jakirović odveo Hal na Vembli,sportklub,https://sportklub.n1info.rs/fudbal/premier-league/millwall-hull-city-plej-of-izvestaj-strelci-premijer-liga-sport-klub/,2026-05-11,Premier League,2026-06-15,
sportklub_e913af8fb3,"Napoli od 0:2 do 2:2, ali Bolonja servirala šok u 90+1",sportklub,https://sportklub.n1info.rs/fudbal/serie-a/napoli-bologna-izvestaj-strelci-tabela-serija-a-sport-klub/,2026-05-11,Serie A,2026-06-15,
sportklub_a1185d6184,Boldvin jedva čeka duel sa navijačima Panatinaikosa,sportklub,https://sportklub.n1info.rs/kosarka/euroleague/wade-baldwin-fenerbahce-panathinaikos-final-four/,2026-05-11,Euroleague,2026-06-15,
sportklub_d9beb41f27,VIDEO: Zastava Palestine vijori se na busu fudbalera Barselone,sportklub,https://sportklub.n1info.rs/fudbal/primera/video-palestina-lamine-yamal/,2026-05-11,Primera,2026-06-15,
sportklub_b7aa8f239f,Aleksandra Perišić bronzana na EP u Minhenu,sportklub,https://sportklub.n1info.rs/sk-fight/aleksandra-perisic-bronzana-na-ep-u-minhenu/,2026-05-11,SK Fight,2026-06-15,
sportklub_4fd2c5ee89,"PAO je slao klipove Evroligi, a odgovor…",sportklub,https://sportklub.n1info.rs/kosarka/euroleague/panatinaikos-sudije-valensija-evroliga/,2026-05-11,Euroleague,2026-06-15,
sportklub_4a22d5e0d4,Lunjov zaustavio Krasnodar i servira titulu bivšem timu,sportklub,https://sportklub.n1info.rs/fudbal/ostale-lige-fudbal/krasnodar-dynamo-moscow-izvestaj-strelci-tabela-rusija-sport-klub/,2026-05-11,Ostale lige - Fudbal,2026-06-15,
sportklub_74b9e906d9,"Barsa slavila, Lamin otišao najdalje: Otrovna strela ka Madridu",sportklub,https://sportklub.n1info.rs/fudbal/primera/lamin-jamal-hvala-bogu-nisam-madridista/,2026-05-11,Primera,2026-06-15,
sportklub_6d21e519f7,Juniorska titula Vojvodini – Pavle Čolaković MVP,sportklub,https://sportklub.n1info.rs/ostali-sportovi/odbojka/juniorska-titula-vojvodini-pavle-colakovic-mvp/,2026-05-11,Odbojka,2026-06-15,
sportklub_3c2aed0e2c,"Šok do šoka: Totenhemu samo bod, a mogao i da izgubi",sportklub,https://sportklub.n1info.rs/fudbal/premier-league/premijer-liga-36-kolo-totenhem-lids-livestream-izvestaj-strelci-premijer-liga-sport-klub/,2026-05-11,Premier League,2026-06-15,
