id,url,izvor,datum,datum_scrape
sportklub_4345555ce9,https://sportklub.n1info.rs/video/fudbal-video/totenhnem-lids-1-1-precka-sansa-video-da-li-je-ovo-bila-odbrana-za-opstanak-u-pl/,sportklub,2026-05-11,2026-06-15
sportklub_9e930cd59e,https://sportklub.n1info.rs/fudbal/primera/girona-rayo-vallecano-la-liga-primera/,sportklub,2026-05-11,2026-06-15
sportklub_52eb356a6f,https://sportklub.n1info.rs/automoto/motogp/bomba-iz-italije-didja-napusta-rosija-i-odlazi-u-ktm/,sportklub,2026-05-11,2026-06-15
sportklub_fea6b7039d,https://sportklub.n1info.rs/fudbal/premier-league/millwall-hull-city-plej-of-izvestaj-strelci-premijer-liga-sport-klub/,sportklub,2026-05-11,2026-06-15
sportklub_e913af8fb3,https://sportklub.n1info.rs/fudbal/serie-a/napoli-bologna-izvestaj-strelci-tabela-serija-a-sport-klub/,sportklub,2026-05-11,2026-06-15
sportklub_a1185d6184,https://sportklub.n1info.rs/kosarka/euroleague/wade-baldwin-fenerbahce-panathinaikos-final-four/,sportklub,2026-05-11,2026-06-15
sportklub_d9beb41f27,https://sportklub.n1info.rs/fudbal/primera/video-palestina-lamine-yamal/,sportklub,2026-05-11,2026-06-15
sportklub_b7aa8f239f,https://sportklub.n1info.rs/sk-fight/aleksandra-perisic-bronzana-na-ep-u-minhenu/,sportklub,2026-05-11,2026-06-15
sportklub_4fd2c5ee89,https://sportklub.n1info.rs/kosarka/euroleague/panatinaikos-sudije-valensija-evroliga/,sportklub,2026-05-11,2026-06-15
sportklub_4a22d5e0d4,https://sportklub.n1info.rs/fudbal/ostale-lige-fudbal/krasnodar-dynamo-moscow-izvestaj-strelci-tabela-rusija-sport-klub/,sportklub,2026-05-11,2026-06-15
sportklub_74b9e906d9,https://sportklub.n1info.rs/fudbal/primera/lamin-jamal-hvala-bogu-nisam-madridista/,sportklub,2026-05-11,2026-06-15
sportklub_6d21e519f7,https://sportklub.n1info.rs/ostali-sportovi/odbojka/juniorska-titula-vojvodini-pavle-colakovic-mvp/,sportklub,2026-05-11,2026-06-15
sportklub_3c2aed0e2c,https://sportklub.n1info.rs/fudbal/premier-league/premijer-liga-36-kolo-totenhem-lids-livestream-izvestaj-strelci-premijer-liga-sport-klub/,sportklub,2026-05-11,2026-06-15
sportklub_4c2b569ff5,https://sportklub.n1info.rs/fudbal/reprezentacija-fudbal/filip-pavic-izabrao-hrvatsku-bayern-aleksandar-pavlovic/,sportklub,2026-05-11,2026-06-15
sportklub_8f2f80152f,https://sportklub.n1info.rs/fudbal/srbija-super-liga/zbiljic-terzic-sukob-finale-kupa/,sportklub,2026-05-11,2026-06-15
sportklub_8fc2053bda,https://sportklub.n1info.rs/tenis/masters-1000/hamad-press-rim-djokovic-ja-najbolji-srpski-teniser/,sportklub,2026-05-11,2026-06-15
sportklub_e8a94689ad,https://sportklub.n1info.rs/fudbal/srbija-super-liga/tanjga-organizatorima-kupa-navijaci-da-budu-provereni-na-ulazima/,sportklub,2026-05-11,2026-06-15
sportklub_b2e812bc2d,https://sportklub.n1info.rs/kosarka/vtb-united-league/borba-za-finale-perasovic-dobio-triler-protiv-radonjica/,sportklub,2026-05-11,2026-06-15
sportklub_872a7c5566,https://sportklub.n1info.rs/fudbal/primera/arbeloa-razumemo-bes-navijaca-videcemo-gde-smo-pogresili/,sportklub,2026-05-11,2026-06-15
sportklub_64d1f31d85,https://sportklub.n1info.rs/tenis/masters-1000/hamad-medjedovic-termin-osmina-finala-rim-prenos-livestream/,sportklub,2026-05-11,2026-06-15
sportklub_a41002c7a3,https://sportklub.n1info.rs/fudbal/premier-league/premijer-liga-vest-hem-arsenal-ponisten-gol-video-englezi-pitaju-pl-u-cemu-se-razlikuju-ova-dva-gola/,sportklub,2026-05-11,2026-06-15
sportklub_32baa87abd,https://sportklub.n1info.rs/kosarka/nba/janis-adetokunbo-trejd-milvoki-baks/,sportklub,2026-05-11,2026-06-15
sportklub_918cd64f46,https://sportklub.n1info.rs/ostali-sportovi/odbojka/juniorke-srema-prvakinje-srbije-marija-babalj-mvp/,sportklub,2026-05-11,2026-06-15
sportklub_835e951170,https://sportklub.n1info.rs/fudbal/primera/levandovski-nastavicu-da-igram-ali-mozda-to-bude-u-drugom-klubu/,sportklub,2026-05-11,2026-06-15
sportklub_8699c195ff,https://sportklub.n1info.rs/kosarka/aba-league/mitrovic-pred-zvezdu-slavili-smo-protiv-zvezde-u-ljubljani/,sportklub,2026-05-11,2026-06-15
sportklub_42a254b524,https://sportklub.n1info.rs/fudbal/premier-league/southampton-middlesbrough-sautemton-midlzbro-cempionsip-pl/,sportklub,2026-05-12,2026-06-15
sportklub_f5a77156ac,https://sportklub.n1info.rs/tenis/masters-1000/medvedev-tirante-masters-rome-rim/,sportklub,2026-05-12,2026-06-15
sportklub_98ba756356,https://sportklub.n1info.rs/kosarka/vtb-united-league/tomislav-tomovic-lokomotiv-kuban-cska/,sportklub,2026-05-12,2026-06-15
sportklub_892a14731a,https://sportklub.n1info.rs/atletika/yebrgual-melese-arage-umrla-maratonka-etiopljanka/,sportklub,2026-05-12,2026-06-15
sportklub_37774cffa1,https://sportklub.n1info.rs/vaterpolo/reko-slavio-u-zagrebu-sampion-evrope-lako-sa-hanoverom/,sportklub,2026-05-12,2026-06-15
sportklub_245fc6524e,https://sportklub.n1info.rs/fudbal/srbija-super-liga/stav-turiel-crvena-zvezda-izraelac-marakana/,sportklub,2026-05-12,2026-06-15
sportklub_76e931828e,https://sportklub.n1info.rs/kosarka/aba-league/crvena-zvezda-cedevita-olimpija-kad-se-igra-vreme-majstorica/,sportklub,2026-05-12,2026-06-15
sportklub_2cacd6ec52,https://sportklub.n1info.rs/video/fudbal-video/video-ronaldo-slavi-sergej-tuguje-nasr-je-sampion/,sportklub,2026-05-12,2026-06-15
sportklub_d55966a739,https://sportklub.n1info.rs/kosarka/nba/brendon-klark-otkriven-moguci-razlog-smrti-nba-kosarkasa/,sportklub,2026-05-12,2026-06-15
sportklub_d89fb1ccf0,https://sportklub.n1info.rs/kosarka/aba-league/buducnost-pregazila-kluz-spremna-je-za-dubai/,sportklub,2026-05-12,2026-06-15
sportklub_b76e3a353c,https://sportklub.n1info.rs/ostali-sportovi/ragbi/merab-sharikadze-suspendovan-na-11-godina-ragbi-sport-klub/,sportklub,2026-05-12,2026-06-15
sportklub_ec21eec2fb,https://sportklub.n1info.rs/fudbal/srbija-super-liga/ispao-trajal/,sportklub,2026-05-12,2026-06-15
sportklub_c6b44d2cf2,https://sportklub.n1info.rs/tenis/wta/video-sulud-poslednji-gem-koko-u-klubu-300-na-zalost-andrejeve/,sportklub,2026-05-12,2026-06-15
sportklub_cd2807b9e8,https://sportklub.n1info.rs/kosarka/aba-league/uzivo-cedevita-olimpija-crvena-zvezda-aba-liga-plej-of-livestream-izvestaj-strelci-sport-klub/,sportklub,2026-05-12,2026-06-15
sportklub_54759c42ca,https://sportklub.n1info.rs/fudbal/primera/video-golcina-bivseg-igraca-partizana-opstanak-je-mnogo-blize/,sportklub,2026-05-12,2026-06-15
sportklub_2ad3add409,https://sportklub.n1info.rs/kosarka/aba-league/crvena-zvezda-cedevita-olimpija-sasa-obradovic/,sportklub,2026-05-12,2026-06-15
sportklub_a1b6c7d023,https://sportklub.n1info.rs/kosarka/aba-league/ebuka-izundu-povreda-cedevita-olimpija-crvena-zvezda/,sportklub,2026-05-12,2026-06-15
sportklub_2443e4f286,https://sportklub.n1info.rs/fudbal/srbija-super-liga/tim-vojvodina-finale-kupa-2026-zvezda-loznica/,sportklub,2026-05-12,2026-06-15
sportklub_4999460cc5,https://sportklub.n1info.rs/kosarka/nba/sokantna-vest-iz-sad-preminuo-brendon-klark/,sportklub,2026-05-12,2026-06-15
sportklub_297cda052a,https://sportklub.n1info.rs/kosarka/srbija-kls/fmp-stigao-do-partizana-zvezda-na-cekanju/,sportklub,2026-05-12,2026-06-15
sportklub_be807cd355,https://sportklub.n1info.rs/kosarka/aba-league/aba-liga-problem-vise-za-vecite-dubai-se-vrca-u-koka-kola-arenu/,sportklub,2026-05-12,2026-06-15
sportklub_1d4e8c12c7,https://sportklub.n1info.rs/kosarka/kosarka-ostalo/luka-doncic-vanoli-kremona-selidba-rim-nba-evropa-sport-klub/,sportklub,2026-05-12,2026-06-15
sportklub_9b0466843e,https://sportklub.n1info.rs/fudbal/primera/kasiljas-nista-licno-ali-ne-zelim-murinja-u-realu/,sportklub,2026-05-12,2026-06-15
sportklub_97e6ee96bf,https://sportklub.n1info.rs/fudbal/primera/florentino-perez-real-madrid-izbori-rekli-su-da-imam-rak/,sportklub,2026-05-12,2026-06-15
sportklub_a2080cd2a9,https://sportklub.n1info.rs/fudbal/srbija-super-liga/tim-zvezda-finale-kupa-2026-vojvodina-loznica/,sportklub,2026-05-12,2026-06-15
sportklub_816669f3a6,https://sportklub.n1info.rs/tenis/atp/andy-murray-jack-draper-trener-novak-djokovic-wimbledon/,sportklub,2026-05-12,2026-06-15
sportklub_5a233fb95e,https://sportklub.n1info.rs/biciklizam/cetvrta-etapa-narvaezu-cikone-novi-vodeci/,sportklub,2026-05-12,2026-06-15
sportklub_4b2fa69d16,https://sportklub.n1info.rs/tenis/masters-1000/hamad-medjedovic-martin-landaluce-uzivo-prenos-live-stream-rome-rim-osmina-finala/,sportklub,2026-05-12,2026-06-15
sportklub_8febfbfeea,https://sportklub.n1info.rs/fudbal/srbija-super-liga/dejan-stankovic-pred-finale-kupa/,sportklub,2026-05-12,2026-06-15
sportklub_59e3a258db,https://sportklub.n1info.rs/fudbal/fifa-world-cup/isak-i-djekeres-predvode-svedjane-a-sp-nema-kulusevskog/,sportklub,2026-05-12,2026-06-15
sportklub_b75478d030,https://sportklub.n1info.rs/kosarka/kosarka-ostalo/portugal-tuca-kosarka-sergio-silva-sudija/,sportklub,2026-05-12,2026-06-15
sportklub_b438d92992,https://sportklub.n1info.rs/kosarka/euroleague/kk-partizan-isaac-bonga-luwawu-luvavu-transfer-euroleague/,sportklub,2026-05-12,2026-06-15
sportklub_2d3910ccb7,https://sportklub.n1info.rs/sk-fight/veliki-uspeh-andrea-berisaj-osvojila-bronzu-u-minhenu/,sportklub,2026-05-12,2026-06-15
sportklub_4aec1133d6,https://sportklub.n1info.rs/fudbal/srbija-super-liga/besplatan-ulaz-proslava-titule-zvezda-2/,sportklub,2026-05-12,2026-06-15
