model,normalize,scheme,ngram,lowercase,strip_punct,accuracy,precision_kb,recall_kb,f1_kb,f1_macro,roc_auc
mnb,stem,tfidf,1-2,True,True,0.622±0.050,0.609±0.046,0.688±0.047,0.646±0.045,0.620±0.051,0.676±0.059
mnb,stem,bow,1-2,True,True,0.625±0.050,0.615±0.048,0.673±0.052,0.642±0.048,0.624±0.051,0.678±0.060
mnb,stem,tf,1-2,True,True,0.622±0.047,0.610±0.043,0.677±0.048,0.642±0.045,0.621±0.047,0.677±0.059
mnb,stem,tf,1-1,True,True,0.624±0.051,0.613±0.047,0.674±0.059,0.641±0.050,0.622±0.051,0.682±0.060
mnb,lemma,tf,1-2,True,True,0.632±0.038,0.626±0.037,0.657±0.043,0.641±0.038,0.631±0.038,0.686±0.051
mnb,lemma,bow,1-2,True,True,0.631±0.032,0.626±0.030,0.651±0.042,0.638±0.034,0.631±0.032,0.681±0.052
mnb,lemma,tf,1-1,True,True,0.631±0.044,0.626±0.044,0.650±0.054,0.637±0.046,0.630±0.045,0.684±0.056
mnb,lemma,tfidf,1-2,True,True,0.627±0.033,0.621±0.031,0.652±0.038,0.636±0.034,0.627±0.033,0.679±0.048
mnb,lemma,bow,1-1,True,True,0.630±0.033,0.626±0.031,0.644±0.051,0.634±0.038,0.629±0.033,0.681±0.056
mnb,stem,tfidf,1-1,True,True,0.613±0.055,0.601±0.048,0.672±0.067,0.634±0.056,0.612±0.055,0.675±0.063
mnb,stem,bow,1-1,True,True,0.619±0.052,0.610±0.048,0.657±0.059,0.632±0.052,0.618±0.052,0.678±0.062
logreg,lemma,tf,1-1,True,True,0.637±0.049,0.640±0.047,0.625±0.064,0.632±0.054,0.637±0.049,0.677±0.057
mnb,lemma,tfidf,1-1,True,True,0.620±0.043,0.613±0.040,0.652±0.051,0.631±0.044,0.619±0.043,0.677±0.052
logreg,lemma,idf,1-1,True,True,0.629±0.037,0.628±0.035,0.632±0.049,0.630±0.041,0.629±0.037,0.675±0.052
logreg,lemma,tf,1-2,True,True,0.631±0.047,0.632±0.046,0.627±0.057,0.629±0.050,0.631±0.047,0.679±0.054
logreg,lemma,tfidf,1-1,True,True,0.635±0.050,0.638±0.046,0.617±0.074,0.627±0.060,0.635±0.050,0.677±0.057
logreg,lemma,idf,1-2,True,True,0.627±0.037,0.627±0.036,0.626±0.054,0.626±0.042,0.626±0.037,0.676±0.050
logreg,lemma,tfidf,1-2,True,True,0.630±0.038,0.634±0.039,0.618±0.048,0.625±0.041,0.630±0.038,0.682±0.053
mnb,none,tf,1-1,True,True,0.610±0.044,0.602±0.042,0.649±0.054,0.624±0.045,0.609±0.044,0.662±0.056
mnb,none,tfidf,1-1,True,True,0.602±0.037,0.592±0.034,0.659±0.041,0.623±0.036,0.600±0.037,0.654±0.053
mnb,none,bow,1-2,True,True,0.609±0.042,0.601±0.041,0.647±0.048,0.623±0.042,0.608±0.042,0.653±0.059
bnb,stem,bow,1-1,True,True,0.619±0.059,0.618±0.059,0.625±0.062,0.621±0.058,0.619±0.059,0.675±0.070
bnb,stem,tf,1-1,True,True,0.619±0.059,0.618±0.059,0.625±0.062,0.621±0.058,0.619±0.059,0.675±0.070
bnb,stem,idf,1-1,True,True,0.619±0.059,0.618±0.059,0.625±0.062,0.621±0.058,0.619±0.059,0.675±0.070
bnb,stem,tfidf,1-1,True,True,0.619±0.059,0.618±0.059,0.625±0.062,0.621±0.058,0.619±0.059,0.675±0.070
mnb,none,tfidf,1-2,True,True,0.602±0.043,0.593±0.041,0.653±0.045,0.621±0.042,0.601±0.043,0.651±0.054
logreg,stem,tf,1-2,True,True,0.623±0.053,0.625±0.056,0.615±0.055,0.620±0.053,0.622±0.054,0.668±0.058
mnb,none,tf,1-2,True,True,0.607±0.045,0.601±0.045,0.641±0.047,0.620±0.044,0.606±0.045,0.663±0.056
bnb,stem,bow,1-2,True,True,0.617±0.053,0.617±0.054,0.623±0.048,0.620±0.050,0.617±0.053,0.671±0.062
bnb,stem,tf,1-2,True,True,0.617±0.053,0.617±0.054,0.623±0.048,0.620±0.050,0.617±0.053,0.671±0.062
bnb,stem,idf,1-2,True,True,0.617±0.053,0.617±0.054,0.623±0.048,0.620±0.050,0.617±0.053,0.671±0.062
bnb,stem,tfidf,1-2,True,True,0.617±0.053,0.617±0.054,0.623±0.048,0.620±0.050,0.617±0.053,0.671±0.062
mnb,none,bow,1-1,True,True,0.608±0.041,0.601±0.039,0.638±0.047,0.619±0.042,0.607±0.041,0.654±0.056
bnb,lemma,bow,1-1,True,True,0.630±0.043,0.641±0.048,0.597±0.042,0.618±0.042,0.630±0.042,0.673±0.064
bnb,lemma,tf,1-1,True,True,0.630±0.043,0.641±0.048,0.597±0.042,0.618±0.042,0.630±0.042,0.673±0.064
bnb,lemma,idf,1-1,True,True,0.630±0.043,0.641±0.048,0.597±0.042,0.618±0.042,0.630±0.042,0.673±0.064
bnb,lemma,tfidf,1-1,True,True,0.630±0.043,0.641±0.048,0.597±0.042,0.618±0.042,0.630±0.042,0.673±0.064
logreg,stem,tfidf,1-2,True,True,0.617±0.048,0.618±0.050,0.617±0.046,0.617±0.046,0.617±0.048,0.672±0.060
logreg,stem,idf,1-2,True,True,0.614±0.051,0.613±0.052,0.622±0.050,0.617±0.050,0.614±0.051,0.666±0.060
logreg,lemma,bow,1-2,True,True,0.634±0.048,0.647±0.052,0.589±0.058,0.616±0.053,0.633±0.049,0.680±0.057
logreg,stem,tf,1-1,True,True,0.625±0.057,0.629±0.058,0.602±0.075,0.615±0.066,0.624±0.058,0.667±0.067
logreg,lemma,bow,1-1,True,True,0.629±0.048,0.637±0.047,0.593±0.071,0.613±0.057,0.628±0.048,0.676±0.058
